theme,matching_suggestions,share_of_unique_suggestions_pct
Removal & replacement,53,51.0
Cost & price,29,27.9
Sweep & inspection,16,15.4
"Leak, cleanup & insurance",11,10.6
Transaction & property,9,8.7
Rules & records,5,4.8
