intent,unique_suggestions,share_pct
Removal & replacement,53,51.0
Sweep & inspection,16,15.4
General education,11,10.6
"Leak, cleanup & insurance",11,10.6
Transaction & property risk,9,8.7
Rules & records,3,2.9
Cost & price,1,1.0
