cluster,verified_keywords,head_terms_1k_10k,support_terms_100_1k,max_high_bid_krw,route_treatment
Installation,6,0,6,37694,new route
Replacement,5,2,3,24894,new route
Removal,5,0,5,27910,upgrade existing guide
Repair,2,0,2,28592,expand planner first
Cleaning,2,0,2,13355,later
Leak,1,0,1,14148,upgrade existing guide
Monitor,1,0,1,11680,defer
